ID, Baud, Clk Mhz, General Timer, Perf Timer, Cores, Watchdog, Watchdog Timeout, I/O, I/O Count, SPI Out, SPI In, Uart Out, Uart In, PWM, GPIO Out, GPIO In, I/O Buffer, Software Interrupts, Hardware Bus, LVM Accel
00001, 38400, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388603, 0, 0, 0, 0
00002, 38400, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388604, 0, 0, 0, 0
00003, 38400, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388605, 0, 0, 0, 0
00004, 38400, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388606, 0, 0, 0, 0
00005, 115200, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388603, 0, 0, 0, 0
00006, 115200, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388604, 0, 0, 0, 0
00007, 115200, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388605, 0, 0, 0, 0
00008, 115200, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388606, 0, 0, 0, 0
00009, 115200, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388607, 0, 0, 0, 0
00010, 115200, 66, 1, 1, 1, 0, 1800000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388606, 0, 0, 0, 0
00011, 115200, 66, 1, 1, 1, 0, 3200000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388606, 0, 0, 0, 0
00012, 115200, 66, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388606, 0, 0, 0, 0
00013, 115200, 70, 1, 1, 1, 0, 1800000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388606, 0, 0, 0, 0
00014, 115200, 75, 1, 1, 1, 0, 1800000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388606, 0, 0, 0, 0
00015, 921600, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388603, 0, 0, 0, 0
00016, 921600, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388604, 0, 0, 0, 0
00017, 921600, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388605, 0, 0, 0, 0
00018, 921600, 51, 1, 1, 1, 0, 3600000, 1, 23, 0, 0, 0, 0, 0, 8388607, 8388606, 0, 0, 0, 0
